BC187_Deleterious_Genes,BY4743_Deleterious_Genes,DBVPG1373_Deleterious_Genes,NCYC3290_Deleterious_Genes,Y12_Deleterious_Genes,Y2209_Deleterious_Genes,Y389_Deleterious_Genes,Y7568_Deleterious_Genes,YJM1273_Deleterious_Genes,YJM1389_Deleterious_Genes,YJM1592_Deleterious_Genes,YJM978_Deleterious_Genes,YPS128_Deleterious_Genes,YPS163_Deleterious_Genes
YJL066C,YPR138C,YGR206W,YGR027C,YDR330W,,YDL136W,YKR039W,YOR004W,YGL091C,,,YMR312W,YLR390W
YJL103C,YBR059C,YGR208W,YGR029W,YDR332W,,YDR311W,YLL054C,YOR150W,YGL155W,,,YNL284C,YLR426W
YJL121C,YBR140C,YGR232W,YGR030C,YDR346C,,YDR472W,YLL061W,YOR197W,YGL185C,,,YNL309W,YML078W
YJL196C,YDL213C,YGR237C,YGR037C,YDR362C,,YGL041C-B,YNL210W,YOR304W,YGL205W,,,YOR362C,YML081C-A
YJL218W,YDR113C,YGR262C,YGR053C,YDR363W-A,,YGR253C,YOR310C,YPL013C,YGL246C,,,YPR057W,YMR029C
YJR036C,YDR257C,YHL015W-A,YGR127W,YDR386W,,YHL002W,,YPL041C,YGR004W,,,,YMR079W
YKL003C,YER048C,YHL032C,YGR172C,YDR399W,,YJL108C,,YPL121C,YGR016W,,,,YMR094W
YKL011C,YER092W,YHR046C,YGR211W,YDR427W,,YLR177W,,YPR159C-A,YGR017W,,,,YMR096W
YKL144C,YFR032C-B,YHR071W,YHL011C,YDR437W,,YLR405W,,YBL018C,YGR021W,,,,YMR097C
YKR044W,YHR177W,YHR076W,YHR001W-A,YDR468C,,YMR133W,,YBL078C,YGR029W,,,,YMR104C
YLR056W,YIL083C,YHR088W,YHR008C,YDR478W,,YMR244W,,YBR185C,YGR030C,,,,YMR183C
YLR077W,YIL158W,YHR092C,YHR032W,YDR480W,,YNL128W,,YDL046W,YGR071C,,,,YMR211W
YLR103C,YJL174W,YHR107C,YHR075C,YDR489W,,YNL270C,,YDR032C,YGR088W,,,,YMR244C-A
YLR316C,YJR098C,YHR110W,YHR076W,YDR514C,,YOR127W,,YDR059C,YGR101W,,,,YMR292W
YMR031C,YLR231C,YHR134W,YHR101C,YDR532C,,YPL123C,,YDR225W,YGR104C,,,,YMR305C
YMR161W,YML007C-A,YHR140W,YHR107C,YDR533C,,YPR001W,,YDR244W,YGR167W,,,,YNL058C
YMR215W,YML027W,YHR163W,YHR110W,YEL006W,,YPR107C,,YGL159W,YGR177C,,,,YNL152W
YNL001W,YMR105W-A,YHR171W,YHR132C,YEL026W,,,,YGL174W,YGR197C,,,,YNL191W
YNL036W,YMR117C,YHR181W,YHR139C,YEL032W,,,,YHL015W,YGR211W,,,,YNL196C
YNL177C,YOL031C,YHR191C,YIL046W,YEL050C,,,,YHR151C,YGR237C,,,,YNL334C
