BC187_Beneficial_Genes,BY4743_Beneficial_Genes,DBVPG1373_Beneficial_Genes,NCYC3290_Beneficial_Genes,Y12_Beneficial_Genes,Y2209_Beneficial_Genes,Y389_Beneficial_Genes,Y7568_Beneficial_Genes,YJM1273_Beneficial_Genes,YJM1389_Beneficial_Genes,YJM1592_Beneficial_Genes,YJM978_Beneficial_Genes,YPS128_Beneficial_Genes,YPS163_Beneficial_Genes
YDL201W,YOR346W,YOR103C,,,YGR286C,YOR241W,YNL232W,YOR236W,YMR312W,YAL067C,YML009C,YDR515W,YGL208W
YDR042C,YPL202C,YOR156C,,,YKL021C,YPL189W,YNL320W,YOR344C,YNL309W,YCR007C,YML110C,YDR536W,YGL240W
YDR144C,YPR033C,YPL208W,,,YKR026C,YPL271W,YNR001C,YPL130W,YOL031C,YDL114W,YMR237W,YER163C,YGL249W
YDR254W,YPR185W,YPR025C,,,YLR147C,YBR052C,YNR055C,YPL188W,YOL116W,YDL211C,YNL158W,YGL185C,YGR112W
YDR289C,YBR085W,YDL055C,,,YLR364W,YBR111C,YOL005C,YPR003C,YOR147W,YDL213C,YNL168C,YGR193C,YHL009C
YDR376W,YBR164C,YDR460W,,,YMR161W,YBR139W,YOL041C,YPR124W,YOR238W,YDR165W,YNR035C,YHR163W,YHR070W
YDR539W,YBR181C,YER076C,,,YNL153C,YBR163W,YOL070C,YAL028W,YOR305W,YDR529C,YOR046C,YHR191C,YIL070C
YEL012W,YBR227C,YGR105W,,,YNR040W,YBR227C,YOR020C,YAR023C,YPL086C,YEL057C,YOR078W,YIL087C,YIL078W
YEL018W,YBR251W,YGR143W,,,YOR106W,YBR282W,YOR079C,YBR007C,YPR004C,YGL119W,YOR375C,YJR153W,YIL103W
YER043C,YBR265W,YGR231C,,,YPL166W,YDL061C,YOR148C,YBR070C,YPR068C,YGL231C,YPL066W,YKR104W,YIL161W
YER154W,YDL061C,YHL042W,,,YPL168W,YDL109C,YOR189W,YBR077C,YBL035C,YGR105W,YPL144W,YLR018C,YIR025W
YFR010W,YDR042C,YHR048W,,,YPL181W,YDL143W,YOR190W,YBR155W,YCL016C,YHR157W,YPR061C,YLR021W,YJL004C
YGL100W,YDR371W,YHR086W-A,,,YBR244W,YDL205C,YPL177C,YBR246W,YCR059C,YKL049C,YAR035W,YLR070C,YJL013C
